,nome_mun,nome_uf,renocup,pibpc,espvida,porte,popul
0,Alta Floresta D'Oeste,Rondônia,950.08,10731.18,70.75,pequenoII,24097
1,Ariquemes,Rondônia,1274.11,15103.86,73.36,medioI,89766
2,Cabixi,Rondônia,827.86,11033.62,70.39,pequenoI,6303
3,Cacoal,Rondônia,1277.37,15095.15,74.27,medioI,78141
4,Cerejeiras,Rondônia,926.57,13037.06,72.94,pequenoI,16942
5,Colorado do Oeste,Rondônia,931.16,10380.21,73.81,pequenoI,18540
6,Corumbiara,Rondônia,680.68,13038.89,71.45,pequenoI,8647
7,Costa Marques,Rondônia,723.83,7852.78,70.04,pequenoI,13539
8,Espigão D'Oeste,Rondônia,1024.08,10848.19,74.15,pequenoII,28510
9,Guajará-Mirim,Rondônia,1002.67,14363.13,74.39,pequenoII,39928
10,Jaru,Rondônia,1054.86,15319.96,74.51,medioI,51715
11,Ji-Paraná,Rondônia,1254.37,15913.94,73.6,medioII,115896
12,Machadinho D'Oeste,Rondônia,713.98,8750.47,70.32,pequenoII,31020
13,Nova Brasilândia D'Oeste,Rondônia,793.58,8750.38,70.75,pequenoI,19526
14,Ouro Preto do Oeste,Rondônia,987.42,12585.36,73.72,pequenoII,37661
15,Pimenta Bueno,Rondônia,1188.26,16023.63,73.15,pequenoII,33611
16,Porto Velho,Rondônia,1655.47,21319.08,74.14,medioII,422555
17,Presidente Médici,Rondônia,899.79,10555.53,72.51,pequenoII,22262
18,Rio Crespo,Rondônia,910.9,12645.97,73.77,pequenoI,3286
19,Rolim de Moura,Rondônia,1138.63,12390.44,73.46,medioI,50379
20,Santa Luzia D'Oeste,Rondônia,810.33,11120.68,73.73,pequenoI,8865
21,Vilhena,Rondônia,1351.07,18995.2,73.49,medioI,75614
22,São Miguel do Guaporé,Rondônia,809.23,14867.85,71.87,pequenoII,21700
23,Nova Mamoré,Rondônia,676.79,9685.67,71.15,pequenoII,22263
24,Alvorada D'Oeste,Rondônia,877.59,9528.51,70.75,pequenoI,16694
25,Alto Alegre dos Parecis,Rondônia,603.29,9353.97,71.64,pequenoI,12760
26,Alto Paraíso,Rondônia,787.74,8879.79,73.22,pequenoI,17112
27,Buritis,Rondônia,807.57,10383.35,70.08,pequenoII,32264
28,Novo Horizonte do Oeste,Rondônia,527.1,9321.1,72.92,pequenoI,10198
29,Cacaulândia,Rondônia,871.69,13392.84,73.08,pequenoI,5724
